batch,accuracy
1,0.3131976362442548
2,0.4110308601444517
3,0.5016414970453054
4,0.525279054497702
5,0.5443204202232436
6,0.5436638214051215
7,0.5403808273145109
8,0.5318450426789232
9,0.531188443860801
10,0.5364412344057781
11,0.5370978332239001
12,0.5318450426789232
13,0.5351280367695338
14,0.5325016414970453
15,0.5325016414970453
16,0.5338148391332895
17,0.5325016414970453
18,0.525935653315824
19,0.5272488509520683
20,0.5246224556795798
21,0.5279054497701904
22,0.5193696651346028
23,0.5226526592252134
